,Sku,ItemName,Category,UnitPrice,ItemId,Collection,Availability,Color,Gender,Description,Composition
2838,P20234315420731516,ULTRALIGHT KNIT T-SHIRT,"['Polo, Camicie e T-shirt']",185.0,2838,Spring-Summer,1,516,Men,shortsleeved knit tshirt in extra fine fresh cotton a classic comfy and versatile garment perfect to be worn with a knitted jacket a cardigan or simply by itself fashion fit,cotton
2839,P20237621950002009,VINTAGE LINEN BERMUDA SHORTS,['Pantaloni e Gonne'],155.0,2839,Spring-Summer,1,009,Women,vintage effect linen bermuda shorts the elastic waist closure and side pockets  provide comfort making this garment perfect for casual and refined outfits to show off even in the hottest weather,linen
2840,P20239710176002005,STRETCH COTTON TRACKSUIT,"['Maglieria, Giacche', 'Pantaloni e Bermuda']",540.0,2840,Spring-Summer,1,005,Men,stretch cotton tracksuit made of a hooded top with doubleslider closure and joggingstyle pants with front and back pockets both garments sport a contrasting drawstring with alcantara ends a soughtafter and practical garment perfect for leisure without giving up on style fashion fit,cotton
2841,P20237611250017598,LINEN SHORTS,['Pantaloni e Bermuda'],155.74,2841,Spring-Summer,1,598,Men,pure linen bermuda shorts with button closure and concealed zipper the drawstring with alcantara ends along with the side and back pockets with button closure make the garment more practical ideal for casual pairings the 100 natural fabric is resistant to time and washings and maintains its original features over time linen absorbs moisture ensuring a high thermal conductivity for a pleasant feeling of freshness fashion fit,linen
2842,P20237611450017598,LINEN PANTS,['Pantaloni e Bermuda'],176.23,2842,Spring-Summer,1,598,Men,pure linen pants with button closure and concealed zipper the drawstring with alcantara ends along with the side and back pockets with button closure make the garment more practical ideal for casual pairings the 100 natural fabric is resistant to time and washings and maintains its original features over time linen absorbs moisture ensuring a high thermal conductivity for a pleasant feeling of freshness fashion fit,linen
2843,P20237611250017112,LINEN SHORTS,['Pantaloni e Bermuda'],155.74,2843,Spring-Summer,1,112,Men,pure linen bermuda shorts with button closure and concealed zipper the drawstring with alcantara ends along with the side and back pockets with button closure make the garment more practical ideal for casual pairings the 100 natural fabric is resistant to time and washings and maintains its original features over time linen absorbs moisture ensuring a high thermal conductivity for a pleasant feeling of freshness fashion fit,linen
2844,P20235716422102590,CHECKERED BOUCLE' KNIT POLO,"['Polo, Camicie e T-shirt']",190.0,2844,Spring-Summer,1,590,Men,shortsleeved knit polo in bouclè cotton the checkered pattern makes the item young and contemporary perfect for fashion matches with shorts or jeans fashion fit,cotton
2845,P20236115150600598,LINEN JACKET-SHIRT ,"['Maglieria, Giacche', 'Polo, Camicie e T-shirt']",359.4,2845,Spring-Summer,1,598,Men,pure linen shirt jacket with fivebutton closure the side patch pockets make the item more comfy and practical the 100 natural fabric is resistant to time and washings and maintains its original features over time linen absorbs moisture ensuring a high thermal conductivity for a pleasant feeling of freshness fashion fit,linen
2846,P20232319018606050,LINKS STITCH CREW NECK,"['Maglieria, Giacche']",200.0,2846,Spring-Summer,1,050,Men,links stitch rolled neck crew neck in linen and cotton a youthful and versatile garment which can be either worn by itself or paired with a jacket or coat an essential piece to wear wherever you go fashion fit,linen
2847,P20236018081427415,FIVE-BUTTONS LIGHT PIQUET COTTON POLO,"['Polo, Camicie e T-shirt']",155.0,2847,Spring-Summer,1,415,Men,ultralight cotton longsleeved piqué polo the fivebutton placket makes the garment resemble a shirt suitable to be paired with a jacket for a modern formal look fashion fit,cotton
2848,P20236115150600170,LINEN JACKET-SHIRT ,"['Maglieria, Giacche', 'Polo, Camicie e T-shirt']",280.0,2848,Spring-Summer,1,170,Men,pure linen shirt jacket with fivebutton closure the side patch pockets make the item more comfy and practical the 100 natural fabric is resistant to time and washings and maintains its original features over time linen absorbs moisture ensuring a high thermal conductivity for a pleasant feeling of freshness fashion fit,linen
2849,P20236118350002598,VINTAGE LINEN SHIRT,"['Polo, Camicie e T-shirt', 'Vintage']",160.0,2849,Spring-Summer,1,598,Men,vintage french collar pure linen longsleeved shirt a garment formal for its pattern and practical for its yarn the perfect mix for a versatile and comfortable outfit appropriate for a wide variety of occasions without sacrificing freshness and comfort fashion fit,linen
2850,P20235516721812598,VINTAGE ORGANIC COTTON CREW NECK WITH PATCHES,"['Maglieria, Giacche']",195.0,2850,Spring-Summer,1,598,Men,vintage effect fine organic cotton shirt the organic cotton is dyed in natural colours guaranteed by the global organic textile standard certification gots this organic fibre is cultivated without pesticides or toxic substances respecting man and protecting the environment to promote sustainable development patches internal bazel and cuffs are made of denimeffect oxford pique fabric for a casual refined style ideal to be worn by itself with jeans or cotton trousers fashion fit,cotton
2851,P20235711420678051,PIQUET STITCH KNIT POLO,"['Polo, Camicie e T-shirt']",230.0,2851,Spring-Summer,1,051,Men,fresh cotton shortsleeved knitted polo shirt with piquet stitch finish and french collar a minimal and refined garment perfect for different pairings with both jeans and cotton trousers fashion fit,cotton
2852,P20235711420678002,PIQUET STITCH KNIT POLO,"['Polo, Camicie e T-shirt']",230.0,2852,Spring-Summer,1,002,Men,fresh cotton shortsleeved knitted polo shirt with piquet stitch finish and french collar a minimal and refined garment perfect for different pairings with both jeans and cotton trousers fashion fit,cotton
2853,P20235719720654110,RAGLAN KNIT BOMBER,"['Maglieria, Giacche']",327.95,2853,Spring-Summer,1,110,Men,fresh cotton raglan sleeve bomberstyle jacket the collar cuffs and doubleslider zipper are in contrast color a youthful garment perfect for any outfit fashion fit,cotton
2854,P20235715618613598,PIQUET KNIT JACKET,"['Maglieria, Giacche']",495.0,2854,Spring-Summer,1,598,Men,knitted jacket in linen and cotton with pique stitch the classic lapel the side patch pockets and the twobutton closure make the garment refined while the natural yarns increase the feeling of freshness a versatile garment perfect to wear in any situation even during the hottest days fashion fit,linen
2855,P20232415618144508,HAMMER SLEEVES CREW NECK,"['Maglieria, Giacche']",175.0,2855,Spring-Summer,1,508,Men,pure cotton hammer sleeves crew neck sweater embellished with backstitch on the armholes a garment to be paired with jogging pants or jeans for understated looks fashion fit,cotton
2856,P20235511522792914,VINTAGE MERINOS V NECK,"['Maglieria', 'Vintage']",155.0,2856,Spring-Summer,1,914,Men,v neck in merino vintage wool the délavé effect on the neck and cuffs gives a new allure to this classic garment making it more contemporary and versatile it is extremely warm and lightweight perfect worn on its own or under one of our jackets for a casual and more sought after style fashion fit,wool
2857,P20236019974002598,MERCERIZED COTTON BOWLING SHIRT,"['Polo, Camicie e T-shirt']",165.0,2857,Spring-Summer,1,598,Men,lisle cotton bowling shirt with rever this exquisite cotton has unrivaled vibrancy softness and silk effect unique qualities that make this refined and versatile garment a wardrobe musthave fashion fit,cotton
2858,P20235511515590030,PURE CASHMERE V NECK  ,"['Cashmere', 'Maglieria']",370.0,2858,Spring-Summer,1,030,Men,v neck sweater in pure cashmere warm soft to the touch and adaptable its an evergreen of mens winter wardrobe fashion fit,cashmere
2859,P20232415618144466,HAMMER SLEEVES CREW NECK,"['Maglieria, Giacche']",175.0,2859,Spring-Summer,1,466,Men,pure cotton hammer sleeves crew neck sweater embellished with backstitch on the armholes a garment to be paired with jogging pants or jeans for understated looks fashion fit,cotton
2860,P20235511522792606,VINTAGE MERINOS V NECK,"['Maglieria', 'Vintage']",155.0,2860,Spring-Summer,1,606,Men,v neck in merino vintage wool the délavé effect on the neck and cuffs gives a new allure to this classic garment making it more contemporary and versatile it is extremely warm and lightweight perfect worn on its own or under one of our jackets for a casual and more sought after style fashion fit,wool
2861,P20239010141100597,RECYCLED MICROFIBRES SWIM TRUNKS,['Beachwear'],120.0,2861,Spring-Summer,1,597,Men,plain swim trunks with recycled microfiber inner slip fibers produced by the eco circle recycling system that allows the reduction of approximately 50 of energy consumption and carbon dioxide emissions the particularity of the swimwear is in the pocket besides being a useful accessory allowing folding the boxer inside it it becomes a comfortable pouch to store the swimwear easily perfect for those who dont want to give up on style and comfort even at the seaside,
